Month,Team,Region,Responses,AvgSatisfaction,NPS,WouldRecommend,PerceivedTimeSaving,EasiestTask,TopRequest
Jan 2026,Platform Engineering,NA,38,3.9,42,78%,2-4 hrs/wk,Code review,Better context windows
Jan 2026,AI Products,NA,31,4.1,51,82%,4+ hrs/wk,Docs writing,More language support
Jan 2026,Developer Tools,NA,22,3.7,38,74%,2-4 hrs/wk,Test generation,IDE integration
Jan 2026,Developer Relations,NA,14,4.2,56,85%,2-4 hrs/wk,Email drafting,Slack integration
Jan 2026,Product Management,NA,9,3.4,28,67%,1-2 hrs/wk,Meeting summaries,Calendar integration
Jan 2026,Platform Engineering,EMEA,27,3.8,40,76%,2-4 hrs/wk,Code review,Better context windows
Jan 2026,AI Products,EMEA,18,4.0,48,80%,2-4 hrs/wk,Docs writing,More templates
Jan 2026,Developer Tools,EMEA,15,3.6,35,71%,1-2 hrs/wk,Refactoring,IDE integration
Feb 2026,Platform Engineering,NA,44,4.1,50,83%,2-4 hrs/wk,Code review,Offline mode
Feb 2026,AI Products,NA,38,4.3,58,87%,4+ hrs/wk,Docs writing,More templates
Feb 2026,Developer Tools,NA,28,3.9,44,78%,2-4 hrs/wk,Test generation,IDE integration
Feb 2026,Developer Relations,NA,19,4.4,60,89%,2-4 hrs/wk,Email drafting,Slack integration
Feb 2026,Product Management,NA,14,3.6,34,72%,1-2 hrs/wk,Meeting summaries,Calendar integration
Feb 2026,Operations,NA,8,3.2,22,63%,1-2 hrs/wk,Email drafting,More tutorials
Feb 2026,Platform Engineering,EMEA,33,4.0,47,81%,2-4 hrs/wk,Code review,Better context windows
Feb 2026,AI Products,EMEA,24,4.2,55,85%,4+ hrs/wk,Docs writing,More templates
Feb 2026,Developer Tools,EMEA,20,3.8,41,77%,2-4 hrs/wk,Refactoring,IDE integration
Mar 2026,Platform Engineering,NA,51,4.3,57,86%,4+ hrs/wk,Code review,Offline mode
Mar 2026,AI Products,NA,45,4.5,65,91%,4+ hrs/wk,Summarizing threads,More templates
Mar 2026,Developer Tools,NA,36,4.1,52,84%,2-4 hrs/wk,Test generation,IDE integration
Mar 2026,Developer Relations,NA,27,4.5,66,92%,4+ hrs/wk,Email drafting,Slack integration
Mar 2026,Product Management,NA,21,3.8,40,77%,2-4 hrs/wk,Meeting summaries,Calendar integration
Mar 2026,Operations,NA,14,3.5,30,68%,1-2 hrs/wk,Email drafting,More tutorials
Mar 2026,Finance,NA,7,3.1,18,60%,1-2 hrs/wk,Data analysis,More tutorials
Mar 2026,Platform Engineering,EMEA,41,4.2,54,85%,4+ hrs/wk,Code review,Better context windows
Mar 2026,AI Products,EMEA,32,4.4,62,90%,4+ hrs/wk,Docs writing,More templates
Mar 2026,Developer Tools,EMEA,26,4.0,49,82%,2-4 hrs/wk,Refactoring,IDE integration
Mar 2026,Developer Relations,EMEA,13,4.3,58,87%,2-4 hrs/wk,Email drafting,Slack integration
Apr 2026,Platform Engineering,NA,58,4.5,64,90%,4+ hrs/wk,Code review,Offline mode
Apr 2026,AI Products,NA,52,4.7,72,94%,4+ hrs/wk,Summarizing threads,More templates
Apr 2026,Developer Tools,NA,43,4.3,59,88%,4+ hrs/wk,Test generation,IDE integration
Apr 2026,Developer Relations,NA,35,4.6,68,93%,4+ hrs/wk,Email drafting,Slack integration
Apr 2026,Product Management,NA,29,4.1,50,83%,2-4 hrs/wk,Meeting summaries,Calendar integration
Apr 2026,Operations,NA,22,3.8,42,78%,2-4 hrs/wk,Email drafting,More tutorials
Apr 2026,Finance,NA,13,3.4,26,65%,1-2 hrs/wk,Data analysis,More tutorials
Apr 2026,HR,NA,6,3.2,20,62%,1-2 hrs/wk,Job descriptions,More tutorials
Apr 2026,Platform Engineering,EMEA,48,4.4,62,89%,4+ hrs/wk,Code review,Better context windows
Apr 2026,AI Products,EMEA,40,4.6,69,92%,4+ hrs/wk,Docs writing,More templates
Apr 2026,Developer Tools,EMEA,33,4.2,56,87%,4+ hrs/wk,Refactoring,IDE integration
Apr 2026,Developer Relations,EMEA,18,4.4,63,90%,2-4 hrs/wk,Email drafting,Slack integration
Apr 2026,Product Management,EMEA,11,3.9,44,79%,2-4 hrs/wk,Meeting summaries,Calendar integration
